page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,21,"Andrex Ultimate Quilts Toilet Paper 24 Rolls, Air Pocket Technology for Soft, Thick Sheets – 24 Quilted Toilet Rolls x 1 Pack, FSC Certified",EUR 22.83,8388,4.7 out of 5 stars,B0D6NNG1FG,https://www.amazon.co.uk/Andrex-Ultimate-Standard-Technology-Previously/dp/B0D6NNG1FG/ref=zg_bs_g_grocery_d_sccl_21/522-6360175-4966542?psc=1,2026-02-27,0,Grocery,co.uk
1,22,Comfort Fresh Sunshiny Days Fabric Conditioner Softener with Motion-Activated Fragrance Technology 100 Days of Freshness 160 washes (4.8 L),EUR 12.74,22777,4.7 out of 5 stars,B0BTTM9X51,https://www.amazon.co.uk/Comfort-Conditioner-technology-freshness-fragrance/dp/B0BTTM9X51/ref=zg_bs_g_grocery_d_sccl_22/522-6360175-4966542?psc=1,2026-02-27,0,Grocery,co.uk
1,23,Smirnoff No. 21 Vodka | 37.5% vol | 1L | Triple Distilled & 10 x Filtered | Premium Made in Great Britain | Smooth with a Hint of Sweetness & Pepper | 1ltr,EUR 34.22,19091,4.8 out of 5 stars,B00439VO6I,https://www.amazon.co.uk/Smirnoff-Label-Triple-Distilled-Vodka/dp/B00439VO6I/ref=zg_bs_g_grocery_d_sccl_23/522-6360175-4966542?psc=1,2026-02-27,0,Grocery,co.uk
1,24,"BARR 24 Pack American Cream Soda, Zero No Sugar Sparkling Soft Drink with a Creamy Taste of American Cream Soda Fizzy Pop, 24 x 330ml Cans",EUR 16.11,25994,4.6 out of 5 stars,B01LTIQAIM,https://www.amazon.co.uk/BARR-American-Sparkling-Creamy-Fizzing/dp/B01LTIQAIM/ref=zg_bs_g_grocery_d_sccl_24/522-6360175-4966542?psc=1,2026-02-27,0,Grocery,co.uk
1,25,"Lucozade Sport Body Fuel - Orange 4x500ml | Isotonic sports drink, with Electrolytes and Vitamin B3 | Still | Bursting with Flavour (Packaging may vary)",EUR 3.43,6681,4.6 out of 5 stars,B00UHANZVE,https://www.amazon.co.uk/Lucozade-Sport-Isotonic-Performance-Orange/dp/B00UHANZVE/ref=zg_bs_g_grocery_d_sccl_25/522-6360175-4966542?psc=1,2026-02-27,9K+,Grocery,co.uk
1,26,"Tassimo Kenco Americano Grande XL Coffee Pods x16 (Pack of 5, Total 80 Drinks)",EUR 27.07,35717,4.7 out of 5 stars,B016DEGFWI,https://www.amazon.co.uk/Tassimo-Americano-Grande-Coffee-servings/dp/B016DEGFWI/ref=zg_bs_g_grocery_d_sccl_26/522-6360175-4966542?psc=1,2026-02-27,0,Grocery,co.uk
1,27,Persil Non Bio 3 in 1 Washing Capsules laundry capsules gentle next to sensitive skin for outstanding stain removal in quick & cold washes 48 washes,EUR 19.41,4161,4.7 out of 5 stars,B0CVXYY7PS,https://www.amazon.co.uk/Persil-Capsules-capsules-sensitive-outstanding/dp/B0CVXYY7PS/ref=zg_bs_g_grocery_d_sccl_27/522-6360175-4966542?psc=1,2026-02-27,0,Grocery,co.uk
1,28,"by Amazon 4-Ply Quilted Toilet Tissues, Unscented, 12 Rolls (1 Pack of 12), 160 Sheets per Roll",EUR 6.50,5676,4.4 out of 5 stars,B08KJ2VK39,https://www.amazon.co.uk/Presto-Quilted-Toilet-Tissues-12-Rolls/dp/B08KJ2VK39/ref=zg_bs_g_grocery_d_sccl_28/522-6360175-4966542?psc=1,2026-02-27,20K+,Grocery,co.uk
1,29,"AQUA Carpatica Pure Natural Still Mineral Water, Virtually Nitrate Free, Low Sodium, Naturally Alkaline, Natural Electrolytes, Premium Multipack 100% Recyclable, 500 ml (Pack of 6)",EUR 3.54,8535,4.5 out of 5 stars,B08974GBLV,https://www.amazon.co.uk/Carpatica-Natural-Still-Mineral-Water/dp/B08974GBLV/ref=zg_bs_g_grocery_d_sccl_29/522-6360175-4966542?psc=1,2026-02-27,0,Grocery,co.uk
1,30,Walkers Classic Variety Multipack Crisps Box 20x25 g,EUR 9.14,6960,4.6 out of 5 stars,B0BVG7C4FZ,https://www.amazon.co.uk/Walkers-Classic-Variety-Multipack-Crisps/dp/B0BVG7C4FZ/ref=zg_bs_g_grocery_d_sccl_30/522-6360175-4966542?psc=1,2026-02-27,0,Grocery,co.uk
1,31,Brabantia PerfectFit Bin Liners (Size G/23-30 Litre) Thick Plastic Trash Bags with Tie Tape Drawstring Handles (40 Bags),EUR 10.28,26734,4.7 out of 5 stars,B00026LJRA,https://www.amazon.co.uk/Brabantia-PerfectFit-Plastic-Drawstring-Handles/dp/B00026LJRA/ref=zg_bs_g_grocery_d_sccl_31/522-6360175-4966542?psc=1,2026-02-27,9K+,Grocery,co.uk
