page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,14,Printperfect - Happy Birthday Card For Big Sister – Cute Birthday Cake Card for Sis – From Little Brother Sister Sibling - Pink Cake Card For Her 150mm x 150mm,EUR 4.56,69,4.7 out of 5 stars,B0DV9RPH1R,https://www.amazon.co.uk/Printperfect-Birthday-Sister-Brother-Sibling/dp/B0DV9RPH1R/ref=zg_bs_g_handmade_d_sccl_14/520-7137096-7068841?psc=1,2026-02-27,0,Handmade-Products,co.uk
1,15,Printperfect - 2026 New Baby Card Baby Girl Welcome To The World - Newborn Card - Congratulations On Your New Baby - Niece/Goddaughter - Grandaughter - Girls - Born in 2026 (2026),EUR 4.56,63,4.9 out of 5 stars,B0G66TWR72,https://www.amazon.co.uk/Printperfect-Welcome-Congratulations-Goddaughter-Grandaughter/dp/B0G66TWR72/ref=zg_bs_g_handmade_d_sccl_15/520-7137096-7068841?psc=1,2026-02-27,0,Handmade-Products,co.uk
1,16,Printed Lanyards Personalised Custom Any Text Colour Lanyard Safety Break ID Card Holder. Visitor Security Company Event Gig Show Staff Teacher NHS Nurse (Navy Blue),EUR 5.66,535,4.4 out of 5 stars,B0B4F13D82,https://www.amazon.co.uk/Printed-Lanyards-Personalised-Lanyard-Security/dp/B0B4F13D82/ref=zg_bs_g_handmade_d_sccl_16/520-7137096-7068841?psc=1,2026-02-27,0,Handmade-Products,co.uk
1,17,"Printperfect mum birthday card, happy birthday mum card from daughter, sweet birthday card for mum, women (Pink Envelope)",EUR 4.56,34,4.5 out of 5 stars,B0FHQFPM7M,https://www.amazon.co.uk/Printperfect-birthday-happy-daughter-Envelope/dp/B0FHQFPM7M/ref=zg_bs_g_handmade_d_sccl_17/520-7137096-7068841?psc=1,2026-02-27,0,Handmade-Products,co.uk
1,18,Printperfect - Boyfriend Birthday Card - Husband Birthday Card - 'I Love You Longer' - I Love You Gifts For Him or Her - Sweet Birthday Cards for Wife Girlfriend Partner,EUR 4.56,238,4.8 out of 5 stars,B0DLHVCQ9P,https://www.amazon.co.uk/Printperfect-Boyfriend-Birthday-Husband-Girlfriend/dp/B0DLHVCQ9P/ref=zg_bs_g_handmade_d_sccl_18/520-7137096-7068841?psc=1,2026-02-27,0,Handmade-Products,co.uk
1,19,"Printperfect mum birthday cards, happy birthday mum legend card, funny mum cards from son or daughter (Pink Envelope)",EUR 4.56,54,4.8 out of 5 stars,B0DCTPXSZ3,https://www.amazon.co.uk/Printperfect-birthday-legend-daughter-Envelope/dp/B0DCTPXSZ3/ref=zg_bs_g_handmade_d_sccl_19/520-7137096-7068841?psc=1,2026-02-27,0,Handmade-Products,co.uk
1,20,"Happy 1st Birthday Card for Boys, Cute Safari Animals (Blue)",EUR 4.56,182,4.7 out of 5 stars,B0CLKQTBWN,https://www.amazon.co.uk/Happy-Birthday-Card-Safari-Animals/dp/B0CLKQTBWN/ref=zg_bs_g_handmade_d_sccl_20/520-7137096-7068841?psc=1,2026-02-27,0,Handmade-Products,co.uk
1,21,"Printperfect - Funny Birthday Card From The Dog Amusing Birthday Card For Dog Owner - “Fur Baby Gift For Dog Mum, Dad, Wife, Husband, Girlfriend, Boyfriend - Hilarious Card For Dog Parents",EUR 4.56,136,4.7 out of 5 stars,B0DVCD9H9X,https://www.amazon.co.uk/Printperfect-Birthday-Girlfriend-Boyfriend-Hilarious/dp/B0DVCD9H9X/ref=zg_bs_g_handmade_d_sccl_21/520-7137096-7068841?psc=1,2026-02-27,0,Handmade-Products,co.uk
1,22,"Printperfect - Sympathy card, loss card, Thinking of you, with sympathy, sorry for your loss, sending love card, condolences card, ""one day at a time""",EUR 4.56,3,4.6 out of 5 stars,B0GKWSKDWM,https://www.amazon.co.uk/Printperfect-Sympathy-Thinking-sympathy-condolences/dp/B0GKWSKDWM/ref=zg_bs_g_handmade_d_sccl_22/520-7137096-7068841?psc=1,2026-02-27,0,Handmade-Products,co.uk
1,23,"Wax Melts Scented Handmade Snap Bars, 4 Pack Alien, Angel, Black Opium, Lady Millionairess Scented Soy Wax Melts Vegan Aromatherapy (Perfume1)",EUR 7.42,359,4.0 out of 5 stars,B0CY9TDXMT,https://www.amazon.co.uk/Scented-Handmade-Millionairess-Aromatherapy-Perfume1/dp/B0CY9TDXMT/ref=zg_bs_g_handmade_d_sccl_23/520-7137096-7068841?psc=1,2026-02-27,0,Handmade-Products,co.uk
