page,rank,title,price,reviews_count,rating,asin,url,date,bought_number,category,market_place
1,45,"Weleda Skin Food, Dry Skin Moisturiser, Moisturising Cream & Primer, Face & Body, For Men & Women, Multiple Uses, 100% Certified Natural, Organic, 75ml",EUR 10.24,37065,4.6 out of 5 stars,B000ORV3NC,https://www.amazon.co.uk/Moisturiser-Moisturising-Multiple-Certified-Natural/dp/B000ORV3NC/ref=zg_bs_g_beauty_d_sccl_45/257-2587524-2935458?psc=1,2026-02-27,10K+,beauty,co.uk
1,46,"The Ordinary Glycolic Acid 7% Exfoliating Toner, Brightening and Smoothing Daily Toner for More Even-Looking Skin Tone",EUR 13.19,42546,4.6 out of 5 stars,B071914GGL,https://www.amazon.co.uk/Ordinary-Exfoliating-Brightening-Smoothing-Even-Looking/dp/B071914GGL/ref=zg_bs_g_beauty_d_sccl_46/257-2587524-2935458?psc=1,2026-02-27,10K+,beauty,co.uk
2,51,Slick Gorilla Hair Styling Powder for Men 0.70 oz (20ml) | Texture Powder | Matte Finish | 24 Hours All Day Hold | Adds Volume & Texture | Lightweight | Non-Sticky | No Shine | Texturizing Product,EUR 13.57,31326,4.4 out of 5 stars,B06XZNJWZL,https://www.amazon.co.uk/Slick-Gorilla-Styling-Texturising-Powder/dp/B06XZNJWZL/ref=zg_bs_g_beauty_d_sccl_1/257-2587524-2935458?psc=1,2026-02-27,10K+,beauty,co.uk
2,52,"L'Oréal Paris Mascara, Telescopic Original Mascara to Achieve Dramatic Length & Definition, Up to +71% Lengthening Effect, Smudge-Resistant and Long-Wearing Formula for Up to 36H Wear, 8ml",EUR 8.82,12579,4.3 out of 5 stars,B0078MF1PC,https://www.amazon.co.uk/Paris-Lengthening-Application-Eyelashes-Telescopic/dp/B0078MF1PC/ref=zg_bs_g_beauty_d_sccl_2/257-2587524-2935458?psc=1,2026-02-27,10K+,beauty,co.uk
2,53,"CeraVe Moisturising Lotion, Daily Face & Body Moisturiser, With 3 essential ceramides & hyaluronic acid, For dry to very dry skin, 473 ml/16 oz",EUR 15.00,8467,4.7 out of 5 stars,B00YT1IZTO,https://www.amazon.co.uk/CeraVe-Moisturising-Hyaluronic-Essential-Ceramides/dp/B00YT1IZTO/ref=zg_bs_g_beauty_d_sccl_3/257-2587524-2935458?psc=1,2026-02-27,10K+,beauty,co.uk
2,54,"TRESemmé Care & Protect Heat Defence Spray- Reduces Breakage by Up to 82% & Prevents Brittle & Dull Hair- Heat Protection Up to 230°C for Smooth, Healthy Hair 270ml",EUR 4.54,9347,4.6 out of 5 stars,B0DNZPVRP6,https://www.amazon.co.uk/TRESemme-Protect-Defence-Spray-protection/dp/B0DNZPVRP6/ref=zg_bs_g_beauty_d_sccl_4/257-2587524-2935458?psc=1,2026-02-27,10K+,beauty,co.uk
2,55,"Johnson's Face Care Makeup Moisturising Wipes with coconut water, Pack of 25 Wipes, Packaging May Vary",EUR 2.24,7209,4.6 out of 5 stars,B00G3JNU8Q,https://www.amazon.co.uk/Johnsons-Face-Makeup-Moisturising-Wipes/dp/B00G3JNU8Q/ref=zg_bs_g_beauty_d_sccl_5/257-2587524-2935458?psc=1,2026-02-27,10K+,beauty,co.uk
2,56,"e.l.f. Hydrating Camo Concealer, Satin Finish, Conceals, Corrects & Highlights, Fair Warm, 0.203 Fl Oz (6mL)",EUR 9.03,51681,4.3 out of 5 stars,B07ZR1DXGX,https://www.amazon.co.uk/l-f-Hydrating-Concealer-Lightweight-Highlights/dp/B07ZR1DXGX/ref=zg_bs_g_beauty_d_sccl_6/257-2587524-2935458?psc=1,2026-02-27,3K+,beauty,co.uk
2,57,"Dove Nourishing Body Wash Body Cleanser shower gel with plant-based moisturisers for softer, smoother skin after one shower 720 ml",EUR 4.28,1480,4.7 out of 5 stars,B0CV5VCL8F,https://www.amazon.co.uk/Dove-Nourishing-Cleanser-plant-based-moisturisers/dp/B0CV5VCL8F/ref=zg_bs_g_beauty_d_sccl_7/257-2587524-2935458?psc=1,2026-02-27,8K+,beauty,co.uk
2,58,"got2b POWDERful Volumising Styling Powder 10 g, Natural Hold, Powder Hair Styling, Volumising Styling Hair Powder, Instant Volume from the Roots, Vegan Formula",EUR 5.14,10859,4.5 out of 5 stars,B004S9WHUU,https://www.amazon.co.uk/POWDERful-Volumising-Styling-Natural-Instant/dp/B004S9WHUU/ref=zg_bs_g_beauty_d_sccl_8/257-2587524-2935458?psc=1,2026-02-27,10K+,beauty,co.uk
